employee_code,work_year,experience_cate,employment_cate,category,job_title,salary_in_usd,remote_ratio,company_cate,company_loc,employee_loc,work_for_home
71a9ea20,2021,mid-level,full_time,Data Scientist,Data Scientist,116914,50,large,United Kingdom,United Kingdom,Yes
0f3fd8ac,2022,senior-level,full_time,Data Engineer,Data Engineer,104611,100,medium,United Kingdom,United Kingdom,Yes
590a36ca,2022,senior-level,full_time,Data Analyst,Data Analyst,84900,100,medium,United States,United States,Yes
6ef84325,2024,senior-level,full_time,Data Analyst,Data Analyst,84870,0,medium,United States,United States,Yes
598cf638,2023,senior-level,full_time,Data Analyst,Data Analyst,84870,0,medium,United States,United States,Yes
bd886ed8,2023,senior-level,full_time,Data Analyst,Data Analyst,84870,0,medium,United States,United States,Yes
947b1384,2023,senior-level,full_time,Data Analyst,Data Analyst,84870,0,medium,United States,United States,Yes
c0582532,2023,senior-level,full_time,Data Analyst,Data Analyst,84870,0,medium,United States,United States,Yes
84936100,2023,senior-level,full_time,Data Engineer,Data Engineer,84800,0,medium,United States,United States,Yes
32a14a99,2023,senior-level,full_time,Data Engineer,Data Engineer,84800,0,medium,United States,United States,Yes
ac3569ea,2024,senior-level,full_time,Business Intelligence,Business Intelligence,84750,0,medium,United States,United States,Yes
ee983115,2023,senior-level,full_time,Data Scientist,Data Science,84750,0,medium,United States,United States,Yes
5ed6a29b,2023,senior-level,full_time,Business Intelligence,Business Intelligence Analyst,84750,0,medium,United States,United States,Yes
53b970d5,2024,senior-level,full_time,Business Intelligence,Business Intelligence Analyst,84700,0,medium,United States,United States,Yes
8fd2b7c1,2023,senior-level,full_time,Data Scientist,Data Science Lead,84700,0,medium,United States,United States,Yes
fce10491,2023,senior-level,full_time,Business Intelligence,Business Intelligence Engineer,84600,100,medium,United States,United States,Yes
eb790bb8,2023,mid-level,full_time,AI,Research Scientist,104055,0,medium,United Kingdom,United Kingdom,Yes
29794fe0,2024,senior-level,full_time,Data Engineer,Data Engineer,84533,100,medium,United States,United States,Yes
d7aff44b,2024,senior-level,full_time,Data Engineer,Data Architect,84500,100,medium,United States,United States,Yes
32b62694,2024,senior-level,full_time,Data Engineer,Data Architect,84500,100,medium,United States,United States,Yes
5d57a014,2024,senior-level,full_time,AI,Machine Learning Scientist,84500,0,medium,United States,United States,Yes
1ef1c40e,2024,senior-level,full_time,Data Scientist,Data Scientist,84500,0,medium,United States,United States,Yes
98a4597d,2023,senior-level,full_time,Data Analyst,Data Analyst,84400,0,medium,United States,United States,Yes
88252687,2024,entry-level,full_time,Data Analyst,Data Analyst,84105,0,medium,United States,United States,Yes
8.7176E+56,2024,entry-level,full_time,Data Analyst,Research Analyst,84068,0,medium,United States,United States,Yes
6b0ccb74,2024,entry-level,full_time,Data Analyst,Data Analyst,84000,0,medium,United States,United States,Yes
296c81ba,2024,mid-level,full_time,Data Analyst,Data Analyst,84000,0,medium,United States,United States,Yes
f9d1e11c,2024,mid-level,full_time,Data Engineer,Data Engineer,84000,0,medium,United States,United States,Yes
7be8fcb1,2024,mid-level,full_time,AI,Machine Learning Engineer,93333,100,medium,Germany,Germany,Yes
0339ac5a,2024,entry-level,full_time,Data Scientist,Data Scientist,84000,0,medium,United States,United States,Yes
09173f35,2023,senior-level,full_time,Data Analyst,Data Analytics Lead,84000,0,medium,United States,United States,Yes
c797c61b,2023,mid-level,full_time,AI,Machine Learning Engineer,84000,100,medium,Viet Nam,Viet Nam,Yes
bf183c6b,2023,senior-level,full_time,Data Engineer,Data Engineer,84000,100,medium,United States,United States,Yes
a0b22844,2023,mid-level,full_time,Data Engineer,Analytics Engineer,84000,100,medium,United States,United States,Yes
5cbaaab7,2023,senior-level,full_time,Data Engineer,Data Engineer,84000,100,medium,United States,United States,Yes
6707f115,2023,entry-level,full_time,Data Engineer,Analytics Engineer,84000,0,medium,United States,United States,Yes
42fb8453,2023,senior-level,full_time,Data Engineer,Analytics Engineer,84000,0,medium,United States,United States,Yes
6ee800b9,2023,senior-level,full_time,Data Analyst,Data Analyst,84000,100,medium,Colombia,Colombia,Yes
37e6d346,2022,senior-level,full_time,Data Scientist,Data Scientist,88256,100,large,United Kingdom,Spain,No
0e74a7ba,2023,senior-level,full_time,Data Scientist,Data Scientist,84000,100,medium,United States,United States,Yes
c4acb7c4,2023,senior-level,full_time,Data Scientist,Data Scientist,84000,100,medium,United States,United States,Yes
6acca281,2022,senior-level,full_time,Data Engineer,Analytics Engineer,103432,0,medium,United Kingdom,United Kingdom,Yes
370661d2,2022,mid-level,full_time,Data Scientist,Data Scientist,84000,100,medium,Brazil,Brazil,Yes
72b56edb,2022,senior-level,full_time,AI,ML Engineer,84000,100,medium,United States,United States,Yes
1b8a6fdf,2023,senior-level,full_time,Data Engineer,Data Engineer,90599,100,medium,Germany,Germany,Yes
08dfb98d,2024,mid-level,full_time,Data Scientist,Data Scientist,83900,0,medium,United States,United States,Yes
74f05a07,2024,mid-level,full_time,Data Engineer,Data Engineer,83900,0,medium,United States,United States,Yes
6dbc1210,2024,mid-level,full_time,AI,Machine Learning Engineer,93222,100,medium,Spain,Spain,Yes
d73ff86f,2024,mid-level,full_time,AI,AI Engineer,83900,0,medium,United States,United States,Yes
6f1428f1,2024,mid-level,full_time,Data Analyst,Data Visualization Specialist,83900,0,medium,United States,United States,Yes
8afb5d6c,2024,mid-level,full_time,Data Scientist,Data Science Practitioner,83900,0,medium,United States,United States,Yes
1a88074d,2023,senior-level,full_time,Data Scientist,Data Science Practitioner,83900,0,medium,United States,United States,Yes
895d06e8,2023,mid-level,full_time,Data Engineer,Data Engineer,83900,0,medium,United States,United States,Yes
084dbc47,2023,senior-level,full_time,Data Analyst,Data Visualization Specialist,83900,0,medium,United States,United States,Yes
9fb89044,2023,senior-level,full_time,Data Analyst,Data Visualization Engineer,83900,0,medium,United States,United States,Yes
2fc23ff7,2023,senior-level,full_time,Data Scientist,Data Science Practitioner,83900,0,medium,United States,United States,Yes
44d278ec,2023,senior-level,full_time,AI,AI Engineer,83900,0,medium,United States,United States,Yes
9fdc24a9,2023,senior-level,full_time,AI,AI Engineer,83900,0,medium,United States,United States,Yes
b0a975c4,2023,senior-level,full_time,Data Analyst,Data Analyst,83700,100,medium,United States,United States,Yes
062d54b6,2024,entry-level,full_time,Data Analyst,Data Analyst,83646,0,medium,Canada,Canada,Yes
